CaseID,Activity,CompleteTimestamp,Duration,CumDuration
1,Queued-Awaiting Assignment,2006-01-11 23:49:42,0.0,0.0
1,Accepted-In Progress,2012-03-15 19:53:52,194817850.0,194817850.0
1,Accepted-Assigned,2012-03-15 19:56:17,145.0,194817995.0
1,Accepted-In Progress,2012-03-15 20:09:05,768.0,194818763.0
1,Completed-Closed,2012-03-15 20:11:33,148.0,194818911.0
2,Accepted-In Progress,2006-11-07 18:00:36,0.0,0.0
2,Accepted-In Progress,2006-11-07 21:05:44,11108.0,11108.0
2,Accepted-Wait,2009-12-02 22:24:32,96859128.0,96870236.0
2,Accepted-In Progress,2011-09-03 14:09:09,55266277.0,152136513.0
2,Accepted-In Progress,2012-01-20 18:23:24,12024855.0,164161368.0
2,Completed-Closed,2012-01-20 18:23:27,3.0,164161371.0
3,Accepted-In Progress,2007-03-20 17:06:25,0.0,0.0
3,Accepted-Wait,2009-12-02 22:24:31,85382286.0,85382286.0
3,Accepted-In Progress,2011-09-03 14:10:53,55266382.0,140648668.0
3,Accepted-In Progress,2012-01-18 16:52:41,11846508.0,152495176.0
3,Completed-Closed,2012-01-18 16:52:43,2.0,152495178.0
4,Accepted-In Progress,2007-05-10 23:21:54,0.0,0.0
4,Accepted-Wait,2009-12-02 22:24:33,80953359.0,80953359.0
4,Accepted-In Progress,2011-09-03 14:10:59,55266386.0,136219745.0
4,Accepted-In Progress,2012-01-18 16:20:53,11844594.0,148064339.0
4,Completed-Closed,2012-01-18 16:21:10,17.0,148064356.0
5,Accepted-In Progress,2007-07-25 21:21:05,0.0,0.0
5,Accepted-Wait,2009-12-02 22:24:32,74394207.0,74394207.0
5,Queued-Awaiting Assignment,2010-08-25 18:13:01,22967309.0,97361516.0
5,Accepted-In Progress,2011-09-05 16:24:13,32479872.0,129841388.0
5,Accepted-Assigned,2011-11-15 00:10:25,6075972.0,135917360.0
5,Accepted-In Progress,2012-01-03 19:30:35,4303210.0,140220570.0
5,Completed-Closed,2012-01-03 19:31:53,78.0,140220648.0
6,Accepted-In Progress,2008-05-08 01:58:51,0.0,0.0
6,Accepted-In Progress,2008-10-06 23:44:37,13124746.0,13124746.0
6,Accepted-Wait,2009-12-02 22:24:34,36455997.0,49580743.0
6,Accepted-In Progress,2011-09-02 07:27:50,55155796.0,104736539.0
6,Accepted-In Progress,2011-09-02 07:27:55,5.0,104736544.0
6,Accepted-In Progress,2012-01-20 15:53:32,12126337.0,116862881.0
6,Completed-Closed,2012-01-20 15:53:35,3.0,116862884.0
7,Accepted-In Progress,2008-06-04 19:02:18,0.0,0.0
7,Accepted-Wait,2009-12-02 22:24:34,47186536.0,47186536.0
7,Queued-Awaiting Assignment,2010-08-25 18:06:45,22966931.0,70153467.0
7,Accepted-In Progress,2011-09-03 15:02:11,32302526.0,102455993.0
7,Accepted-Assigned,2011-11-15 00:09:27,6253636.0,108709629.0
7,Accepted-In Progress,2012-01-05 22:08:18,4485531.0,113195160.0
7,Completed-Closed,2012-01-05 22:09:00,42.0,113195202.0
